model_name,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8420057351003644
KNN,0.7778566359119943,0.5840220385674931,0.5668449197860963,0.5753052917232022,0.8151605569764138
Gradient Boosting,0.7977288857345636,0.6518771331058021,0.5106951871657754,0.5727136431784108,0.8419411506368027
Random Forest,0.7856635911994322,0.6216216216216216,0.4919786096256685,0.5492537313432836,0.8246454312950475
Decision Tree,0.7409510290986515,0.5125348189415042,0.4919786096256685,0.5020463847203275,0.6609574000878348
